[2021-04-14 16:29:00] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 16:29:00] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 16:45:07] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 16:45:07] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 16:53:04] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 16:53:04] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:18:01] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:18:01] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:20:59] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:20:59] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:52:53] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:52:53] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:55:01] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 17:55:01] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 18:04:59] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 18:04:59] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 18:05:50] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 18:05:50] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:15:49] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:15:49] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:17:06] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:17:06] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:35:33] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:35:33] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:39:51] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
[2021-04-14 20:39:52] [ERROR] [org.apache.curator.framework.imps.EnsembleTracker] Invalid config event received: {version=0, server.4=rcpjt004:2888:3888:participant, server.3=rcpjt003:2888:3888:participant, server.2=rcpjt002:2888:3888:participant}
